Variable,Importance
richesse_Tres_riche,0.09165323317287848
instruction_Aucune,0.07679543201577475
milieu_Urbain,0.06381753776902646
region_West,0.052107236881532334
milieu_Rural,0.04875206821953413
region_Douala,0.046621042360126354
region_North,0.0445836376867727
richesse_Tres_pauvre,0.04326110404036501
instruction_Secondaire,0.03710154938517783
region_Far-North,0.03629311985213067
region_Centre (without Yaounde),0.028419357966759432
instruction_Superieur,0.028116386760303005
richesse_Riche,0.0262265243473878
instruction_Primaire,0.02555746345584233
richesse_Pauvre,0.024245775495359827
sexe_enfant_Feminin,0.023967506842070708
parite_Multipare,0.023728627246294008
sexe_enfant_Masculin,0.022972933803011287
region_East,0.022534762064372507
richesse_Moyen,0.02201041600851652
parite_Primipare,0.02051946496998557
region_North-West,0.020421340372585996
statut_union_En_union,0.020118465879969398
statut_union_Pas_en_union,0.01953904730964134
age_groupe_20_34,0.019299692297518847
cva_4_plus,0.01625845739199357
age_groupe_35_plus,0.015469689048531228
cva_Moins_4,0.013043417829374467
region_South,0.012874199799104964
age_groupe_Moins_20,0.012616166480660537
region_Adamawa,0.012258537018599322
region_South-West,0.0115560826391424
region_Littoral (without Douala),0.00970123548645455
region_Yaounde,0.007558488103201791
